Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a5616a015330d9d2beda4967ee69a37c9b8e40abcaad2a527947f868b39045ba,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
a6a702580a1a388d785e5ea8e9661271ab9f740d8679f016f1962120a99fc5b1,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
92d1ecfbe12ee59025612ec5560ac48f333134fccee8eb63d5a68174e6470c37,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.138790,52.187711,On or near RATHMORE ROAD,E01017996,Cambridge 013E,Investigation complete; no suspect identified
172e923206e2e86dbfdd681bfba5e7008d4394b523680c10b1452111cda7910d,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f31de53cc0f24f92de3e7aedd0a2f95041fc7c69003ecbf0217e4a678661ae48,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
8629f6b417c7ad5aa95eeb94a2ab02c966c10ca8b39922b5fa542cd1a2b6f5b2,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
fa60b311ec7d9b8d1c15f1b2b39c60d8e67b8c910e54f210e0248b340569d65a,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
3ec0d62aabbdb611396055351b1249aa9606f0bc751439821af3777f4be5cf7d,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
5757dcfeac9ad35bcad509e8f66b5d8c6c49e1f09fe680b546af0628c4bee853,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
8109672cd070c05447454c62440621c863af666887a66581008cb2973c69e790,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
d57d195ca1812067081482f22006ef9a943ef6434d910797b367ebbdaed0a295,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
1066e7c56b1e267a7299e3cbca4a5ff08fb94e7efa2c0e9faef8ad518c98f5b2,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b34a1b8540037be5e05b7ee5af1542528ff02396dbe675348c940377c8f3ada4,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
c2074acf71708b427a3b310e21bd7f3c6ec265ee324ddb25e919eef0c6d8b20d,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b4fd21d0eb339323198ed9a40764236773fe3eacb219c560c2c585fa6b39a43d,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
414919ed0b16487277e49693f10f67d3c5d5d57aed5e7aa2aceed6d8c7351570,2020-01,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
