Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0750210c517c528345bad7bc0e9913d3b5ba764768576b3627558768a6c10650,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
aa894b4c0ee0691a9d2c5a432c9108cfeb0e26fc1e3b224540fe45ae2d5d7435,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
2fe6ce847f4fa562d4215fd04aaf18880777607a8e4797ebb34fe25607e70883,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
275a363abd8348256792689680373d16d81e50d73a3ee842e56e71fa9d60e227,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f2bed8ad08495614a970838fc393b2928ff21eae429929cd02965e5e0df853ff,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
968eea67ded006a90577c87ba181f075a7b753e350fd854bff58024b40006264,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
f8b96571b502f9d9feefcc26f5a7ad58e31af1d1a2723ba83bd27126fb104070,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
090b556ee48781746c9c532f966f2fbfe9d8ba336b60dbf595725505fa6ef60f,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Local resolution
a3a5814b737fa4d55c9e7a0f27e67f497260e443b7dc63124e44469648523387,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
21914b5472f06ae9fea891ebecc85408310a2b49079f8c5cc46bcd0d82c389f6,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
d2b7e5b5f0736af9c8daaf6fac893fb09fe791ddd6b3495d67af8670ced15e4e,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
479d3e55b7cb21baf9a39731a57c2435890558286d1b5cd03f97ebbc38e45b95,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4f600cafb480cd7986c913de60a1b8cfdca7caacc055b5eadba81d6deffbda8b,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
4679e6ac8f79ab88da06be4978c81a005f2fd63491f59b93e6c503c80cd05576,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
d2c096a93bccda68fbca1f0b7f9cba3e9ce53be68caf707002889cc175bc65a8,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
a1bcf4d41f889516ce10b278caec41ba86733feec0c3f440899121df4b027412,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
a2095ae9bc99bb553bfe86122a3754e0101b4c408c927dfca282b926f01d7d96,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
84710fadab5269e7a414da586260b4155e385b817392c674d6b78293f0085253,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
a5018cffea97f1ee81a53f9d5a1b36d34c1566d466b145fa5edb72d015b343c9,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
8a3487f9d852730e2d08455332c25ed5a999f156ccf20ec0c14695538a24544c,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
8d1a57305b999f9feb4988f2ab704459fc75d61e8f5ce73949152ae60ea64e34,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
dfd50d707903a541fb9d03d49caf4872ef3eb21fa4a8226b54f8f4a88a151c00,2019-11,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
