Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3d6483dbd9de3f63969205f8a831518dd0f94592513f9c47063a3d7ce86a20bf,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
ee7f2f53874d1c60d24893b32c9af9c2a366c5019d798e4bcabf407498b15fe4,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
94e16d560718af0917f82b9142a0e200f07f7756653ad0470e5a671914e34672,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
caae4a382e193370cb58a2be7b3a3567fad0a8eb56671b55f773dc923a5b6abd,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
220e14c12f40068f4292ff71a8de51a99149fd6217b83712f2d90f05921f056b,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
f12d9006b1a2d7728179478b07553fe9df5beaf92b36f670c0f83c2b67f2200b,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
b6f3c72855feff44fe4b3c1eb0792951bcd618401017643ea4ec4b9f45edd64a,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.107696,52.166241,On or near HAUXTON ROAD,E01018002,Cambridge 012A,Investigation complete; no suspect identified
1ce05b44579aebb906899bb75d6c2e88d2dc908d6207016f2fcb233167ec4d61,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
56094ecc8bb8a3f39ee8410f0dbfb4f463c755c66274c03c2aa4e38cb7726cf2,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
2a14bb07e697d0577fac4ff6ed976b014a8279d4a4be4ede9ef2733b23d8a0c7,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Action to be taken by another organisation
702be49eb0b22d0ab528a8bc50965ee4db8f94921de0ca5575bc374ecdb671ab,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Suspect charged
e2466199893e27410175186818cb7c67924f5dd526ba5c7cde072e22395e2f12,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
39039c5f45fa42d2680ca8ba259de98ec8819d61db411e1412e257b911be3f95,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
98069dfa39aa6f2a82785ae199b57ab445e8715d7138a97d26283f5126c7bcf6,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
31c2035d8ec011642eee501c181f52b450452ec2dfc65d2a38c06f28ee604684,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
87779b97deb7d81ac879150fd0bebf164b0425e955b3d89bd22523dd4a8f8899,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
b1d5741e5c0412d4071f187773f4ba773f00df7b0746a2d57f529b55571a08bc,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
3761ec988df0724b08659ff17a39173b691e3c577a6cf73f3c7b773ef2f13690,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
97c1e3feddb74deecf5d0a77079fcec1919095b31b765a2e56921d4aad0d2758,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
c9d1d43952272eda178fbc9a1c4a83fbd6b4389dfba8fdbceb692b9831130d74,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
fcde1be697043c03a8b297ad2aece223075e22b254fe35958be57ce56665fb5b,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
536e2eab27d040bed3f6e9ece273380b0d644019e118875103f5c23d5d3e2a7a,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
a14a1015775303ee52bf5bfbabb371e9f9fe9e8214833a6c36651f3bb6a1f1e7,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
fa2fdfe148e3f0291531bcd216a5efcf901d43dfb1d5b55e145abccdfb240b20,2020-02,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Investigation complete; no suspect identified
