Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c28e136ee648d0b7c29e81471bd3ed038a20dc21c0c331a26618681ab8fbd056,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.059372,52.292707,On or near HUNTINGDON ROAD,E01018129,Huntingdonshire 016A,Unable to prosecute suspect
1340b8778f6e491c3399f630737de8fb9703307d1ac884ace1d0e145f3beb8f4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.314342,52.376949,On or near CHURCH ROAD,E01018125,Huntingdonshire 015A,Unable to prosecute suspect
29cd0637ecbcad4f912e035d16064372fd1a93d1776b298bcb79f0f1468ec26c,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.261390,52.396134,On or near BARTON MEWS,E01018025,East Cambridgeshire 004B,Unable to prosecute suspect
bdb68096eb6c0356d221fa958483118fca1d19a17157cefaf4eeecd432204bcf,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.256744,52.577557,On or near WILLIAMSON AVENUE,E01015692,Peterborough 016E,Unable to prosecute suspect
348c50068226aaaded807698a2fcefe4e4ae7b0237ed2c82815d6370bd37ae97,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.314342,52.376949,On or near CHURCH ROAD,E01018125,Huntingdonshire 015A,Unable to prosecute suspect
54a655358a9762bfa30e7f5ded18958acfef78bced337b42a7ca67e3de5f27f6,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.119747,52.451383,On or near ALLEN ROAD,E01018160,Huntingdonshire 003E,Unable to prosecute suspect
120d9defe30e1f909f7ff44fc0ec1bed7164029c5b890e0581db38ae911c9408,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.328479,52.283294,On or near WESTHORPE,E01018016,East Cambridgeshire 008D,Unable to prosecute suspect
e9026fcffb3c4f43fe26ee772bf8fd97b95dd8a09c5250e85ecf44801545759c,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227539,52.580801,On or near KINGSLEY ROAD,E01015616,Peterborough 013F,Local resolution
594208a8b4efe2f92a99172736797268b0983f142deb6373a0034948d64b36f5,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134861,52.198842,On or near MAWSON ROAD,E01017988,Cambridge 008B,Investigation complete; no suspect identified
c085e4ccd9b466581ef6cc120b7e3f03403ef40063b4eb78e57c2761a3ea1fd1,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265221,52.609932,On or near BROOKSIDE,E01015684,Peterborough 003D,Unable to prosecute suspect
3cc0330fe947facc90d92e7cdd102f54e237ff5d666ffbb92d77b50b2902b693,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241137,52.574809,On or near Supermarket,E01015599,Peterborough 014A,Suspect charged
6c6abc274896b2a88128ff67d2f5861d308f495a58b80a0dd257b47b58b44693,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.090238,52.336378,On or near CALIFORNIA ROAD,E01018171,Huntingdonshire 011G,Investigation complete; no suspect identified
e696cf9190ae004ad0b636ac5c6e347a0a0cba666c148b78ecdb21e5e6800308,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.380968,52.066952,On or near CLAYDON CLOSE,E01018220,South Cambridgeshire 016C,Investigation complete; no suspect identified
602556db5da0e5b6a40458587fee5d53daa998360aa754f66ba562e6872f2415,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.114721,52.387439,On or near VICTORIA PLACE,E01018055,East Cambridgeshire 002D,Unable to prosecute suspect
b8b8e56ac22c0357480f7dffe1480d385f1018536d1e8a79e96f93ba6e8761c9,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245074,52.572655,On or near CHURCH STREET,E01015599,Peterborough 014A,Unable to prosecute suspect
3ae20b8eb2d90e78a4ea381407433dd9e307d37968cbad9d456dd3feaf095062,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.114721,52.387439,On or near VICTORIA PLACE,E01018055,East Cambridgeshire 002D,Unable to prosecute suspect
7bb12ff053fbc60f57cc90e5a3d01ea92ab7823437d381cf053af9e214f5dae8,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.173032,52.668995,On or near TRAFFORD PARK,E01018073,Fenland 002B,Unable to prosecute suspect
15f84aeab13e842a4b7336218b0abde80620a3762059501ba836a998de3f0900,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.292152,52.491257,On or near BELL CLOSE,E01018201,Huntingdonshire 002D,Unable to prosecute suspect
943bbd1bc03f0a5bfd6b8bc272ccab2e861db18964168323ff5e72b06c24bf3b,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245074,52.572655,On or near CHURCH STREET,E01015599,Peterborough 014A,Unable to prosecute suspect
63a93e349208f7bbfc24bb4be781eaf3550653e023449c5e154383a1afd93cd2,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129157,52.196751,On or near Supermarket,E01018005,Cambridge 012D,Unable to prosecute suspect
0a81bf5ab5ee786c47bf3d831a95f669db508ddb57e4be0cd66c79e9bcea1a8e,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.278509,52.584816,On or near Hospital,E01015691,Peterborough 015E,Unable to prosecute suspect
43307d343746a64dcb8c19f4e3f5aa1696d96fb061e5c8689442fcfedb93f6f0,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.186622,52.337654,On or near Sports/Recreation Area,E01018150,Huntingdonshire 012D,Unable to prosecute suspect
f69447477f8fe713ad2886a7be082cef3c868453c74d9feef28c2c9c9082df24,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157590,52.211593,On or near ELFLEDA ROAD,E01017945,Cambridge 006C,Unable to prosecute suspect
00327435b30e808e71d1707b176e1b863bb8017d4dc69e8c7aad788de0425996,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.270967,52.539401,On or near HARGATE WAY,E01033175,Peterborough 023B,Investigation complete; no suspect identified
01181be55995eba1911a63fff86f77a687a34b5afda24b69acfcf60d5f03be5b,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.181694,52.669483,On or near OCTAVIA CLOSE,E01018103,Fenland 003F,Unable to prosecute suspect
77aa1fd14b0ea976e6f98ea9b51d95dc1b939fe2f0e2af31e11fbcff7a35ffc9,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.231744,52.593316,On or near ACER ROAD,E01015608,Peterborough 008B,Unable to prosecute suspect
7b1165cdbcaf8df1647bd377bc7aef5318dd86243edf274fbfc900af72b57eda,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.098207,52.548799,On or near SHEPPERSONS GROVE,E01018078,Fenland 007B,Unable to prosecute suspect
71e2c4a159261235265234d8cc290b4015f071fd1aa461a8b188ab70fe03a36e,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
fee50d36d7dd756a026866a1f98247fbd719fd7909a00b09caa8360a572131ee,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
1dd57b51d76db0bf0573e701ec1721221787e2eddd2c5be7f4c0a26f90ed3edf,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244945,52.608410,On or near FRESTON,E01015658,Peterborough 007E,Unable to prosecute suspect
56ed77a9920015b24e4ce324eeb8b7a183fb50dbf99da97eadf26305852a0a20,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.187719,52.331656,On or near ST JOHN'S STREET,E01018151,Huntingdonshire 012E,Unable to prosecute suspect
7482f662d0e39fea20d9d077e5f8cb6f4dfb44cd2d8ce007a7d1e3b0808164d2,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.287094,52.581183,On or near GOFFSMILL,E01015597,Peterborough 011E,Unable to prosecute suspect
0f46304c7d99c91ccc963d370a76a66b8fc82feca175e89b8d51e0a44061a0c1,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.187719,52.331656,On or near ST JOHN'S STREET,E01018151,Huntingdonshire 012E,Unable to prosecute suspect
66faba0683269c880fce60a55e58114bdecc3cc7a36517591bed7231c900c1cb,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.140226,52.557290,On or near Sports/Recreation Area,E01018098,Fenland 006E,Investigation complete; no suspect identified
4c1930d66253dcb56569ce70bbc33d96507751080911b98187e59fee331208f7,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269985,52.210338,On or near Supermarket,E01018181,Huntingdonshire 021A,Unable to prosecute suspect
838b3ff1bb967c9c4d5866253ab554421f4a6957c3c20ed57b00e9de3b57d0af,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.019621,52.313268,On or near CHAPMAN'S WAY,E01018306,South Cambridgeshire 001C,Unable to prosecute suspect
60131b2e275fbae1b364dc58732414ecff7bc95cf38645f53c497592603f70b3,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.332970,52.402711,On or near SAWPIT LANE,E01018192,Huntingdonshire 004B,Unable to prosecute suspect
41782d2bccf64ff6c823c58a8607b4a000b31bda44c2f5b95dbb1ee801da6f1e,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.113290,52.220712,On or near FRANCIS DARWIN COURT,E01017953,Cambridge 002E,Unable to prosecute suspect
eb9768c253ffe200c19a83def2ba0c36ee9b76d8c6cb870e80f8ec19ff564348,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119723,52.213754,On or near CARLYLE ROAD,E01017950,Cambridge 002B,Unable to prosecute suspect
